,overall,vote,verified,reviewTime,reviewerID,asin,reviewerName,reviewText,summary,unixReviewTime,style,image
10,5,,True,"04 5, 2018",A160DTI3H7VHLQ,B00004U9V2,CB,This hand cream is the best! Have been using it for years. Keeps my hands soft all day,Five Stars,1522886400,{'Size:': ' 0.9 oz.'},
11,5,,True,"04 5, 2018",A1H41DKPDPVA0R,B00004U9V2,Donna Butler RN,I am a healthcare care professional that suffers from dry hands.  This hand lotion has changed my life.  I keep it on the desk nearby.  The hand therapy instantly improves the discomfort from dry hands.,Best hand therapy on the market!!,1522886400,{'Size:': ' 250 g'},
12,5,,True,"04 5, 2018",A2BDI7THUMJ8V,B00004U9V2,Teresa K. L.,have used on and off for years. Product is good for dry skin. I like the smell but it may be strong for some.,Product is good for dry skin,1522886400,{'Size:': ' 250 g'},
13,5,,True,"04 3, 2018",AM7EBP5TRX7AC,B00004U9V2,Glenn B. Guilbault,Great hand cream,Five Stars,1522713600,{'Size:': ' 250 g'},
14,5,,False,"04 2, 2018",A31FOVCS3WTWPT,B00004U9V2,Pam,"This is my favorite lotion!  I have loved it for many years. The smell is one that men and women would like.  It's not a fruity or perfume scent, more herbal?  Its hard to explain.  The lotion is just amazing though. Not greasy at all.  You have to try it at least once :)",My Favorite Lotion in the World,1522627200,{'Size:': ' 3.5 oz.'},
15,4,,True,"03 30, 2018",AXUU8F9EM6U3E,B00004U9V2,Amazon Customer,Soothing! Love the way it smells,Love the way it,1522368000,{'Size:': ' 0.9 oz.'},
16,5,,True,"03 29, 2018",A24B46V78ATNRP,B00004U9V2,Michael Konrad,My wife loves the Gardeners hand cream and liquid soap.,Wonderful,1522281600,{'Size:': ' 250 g'},
17,5,,True,"03 27, 2018",ABUBKML2EONCG,B00004U9V2,Lotte Hersey,"I always loved this lotion ,glad you had it",Five Stars,1522108800,{'Size:': ' 3.5 oz.'},
18,5,,True,"03 26, 2018",A2UA6E1RVG3C1I,B00004U9V2,Ginny,Absolutely great. Cleared my hands in just three to four applications. Would definitely recommend to others with dry rough hands.,Absolutely great!,1522022400,{'Size:': ' 0.9 oz.'},
19,1,,True,"03 23, 2018",A1TRMJHEDGX0HF,B00004U9V2,soulsurfer,SOOOO not worth the money. Packaging is aweful. Screw top way too small and this is hand cream not paint. Felt greasy although the review said it would not. Disappointed.,Disappointed.,1521763200,{'Size:': ' 0.9 oz.'},
20,5,,True,"03 21, 2018",A2TTJS62322SXW,B00004U9V2,Geoffrey H. Sprague,use all the time,Five Stars,1521590400,{'Size:': ' 250 g'},
21,5,,True,"03 20, 2018",AX2K33SNI3WHN,B00004U9V2,Dona,I haven't found anything I like as well for my dry hands and nails.. and I love the pump bottle,Good product,1521504000,{'Size:': ' 250 g'},
22,5,,True,"03 20, 2018",ALX99DYO827ZK,B00004U9V2,Michael Napolitano,Bought this for my mom - she loves the stuff.,Five Stars,1521504000,{'Size:': ' 3.5 oz.'},
23,1,,True,"03 18, 2018",A3PVVQ9MHYFTV9,B00004U9V2,Amazon Customer,"I have used this cream for decades, but this particular cream is NOTHING like the old one.  The old cream had an appealing soft scent.  This one has an offensive male cologne smell.  It is so strong, I had to wash my hands immediately.  The old cream visibly hydrated my skin.  Not this one.
I am guessing this cream is a cheap knockoff.  Don't waste your money!!!!!",Stinky Fake,1521331200,{'Size:': ' 3.5 oz.'},
24,5,,True,"03 17, 2018",A22NEUQTKWQM98,B00004U9V2,Kathy Gillin,"My all-time favorite hand lotion. Smells heavenly and has just the right texture, not too heavy but not too light.",Nearly perfect,1521244800,{'Size:': ' 3.5 oz.'},
25,5,,True,"03 15, 2018",A1TQQZ6NVDTPNL,B00004U9V2,Amazon Customer,Best hand cream EVER!,Five Stars,1521072000,{'Size:': ' 3.5 oz.'},
26,5,,True,"03 15, 2018",A1TQQZ6NVDTPNL,B00004U9V2,Amazon Customer,Love to have this sitting on my desk!,Five Stars,1521072000,{'Size:': ' 250 g'},
27,5,,True,"03 11, 2018",A32E3RVLI6D4TM,B00004U9V2,Peggy M. Holmes,I love it because it does not leave skin feeling greasy.  I don't like that it is so expensive.,Five Stars,1520726400,{'Size:': ' 0.9 oz.'},
28,5,,True,"03 11, 2018",A3KUYXBMJ8AVIX,B00004U9V2,J&amp;amp;Knh,This is about the only lotion that gets my hands thru cold New Hampshire winters.  It's not oily. And doesn't leave my hands wanting more.  It is a life saver.,Perfect for dry hands in New England winters,1520726400,{'Size:': ' 250 g'},
29,3,,True,"03 9, 2018",A3TMPSQ7X4M9LO,B00004U9V2,ProviderKat,"Pleasing fragrance, but really didn't do much for rough dry hands.  I had higher hopes.  Maybe too high?",Three Stars,1520553600,{'Size:': ' 250 g'},
30,4,,True,"03 9, 2018",AUEUNR2AQQ0SY,B00004U9V2,M. Martin,"I love this hand cream, especially the fragrance. Its light and herby. I tsoftens my hands without making them greasy. However, I did not pay attention to the size, and its a VERY small quantity for $8. So, the cream is great, but its not a good value.",Love the cream; small tube.,1520553600,{'Size:': ' 0.9 oz.'},['https://images-na.ssl-images-amazon.com/images/I/71mN6agImFL._SY88.jpg']
31,1,,True,"03 6, 2018",A2P5MRZ68JX8EE,B00004U9V2,Hawks  View Ranch,This smells like mens cologne. I thought it would smell more feminine disappointed.,One Star,1520294400,{'Size:': ' 250 g'},
32,5,,False,"03 4, 2018",A8VD1E2O6N2KO,B00004U9V2,Jet Jona,"I am sensitive to strong or artificial scents, and this always has a nice level.  It provides long-lasting moisture, but not greasy after a minute or so (I scrub my hands and nails with a brush after gardening/cleaning, dry them somewhat and apply).  At the promotional price, it was an excellent value for something I've loved using for over 20 years.","Very Moist, Mild-Moderately Fragrant, Not Greasy",1520121600,{'Size:': ' 250 g'},
33,5,,True,"03 4, 2018",A1Q3N7GU27KGMA,B00004U9V2,Barb,"Like many, my hands get extra dry in the winter.  It was so bad this year, none of my fingerprints were unlocking my phone anymore.  So annoying.  I'd moisturize at night, but it wasn't so helpful.  Someone left a bottle of this C&E moisturizer in the bathroom at work and after using it about once a day after washing my hands (it was annoying to take off rings more than once), my fingerprints started working again.  I wasn't expecting that!",This stuff brought my fingerprints back!,1520121600,{'Size:': ' 250 g'},
34,5,,True,"03 4, 2018",A3QEV9GSI4HPA5,B00004U9V2,Daniel Donahue,"Well worth the price, as I know my wife scrapes the bottle to reach the last dollop of Crabtree & Evelyn hand cream. She keeps one in her car and one on her desk. Gifts are easy when you know she enjoys Crabtree & Evelyn products so much.",Well worth the price for soothing hand relief,1520121600,{'Size:': ' 250 g'},
35,5,,False,"02 26, 2018",A2FMDHT0HNA3WY,B00004U9V2,veracity,Used this for years. Handy to keep in my purse.,Five Stars,1519603200,{'Size:': ' 0.9 oz.'},
36,5,,True,"02 19, 2018",A2QPHVVXS9FUBS,B00004U9V2,Helen Rosenthal,This is a wonderful hand cream that really works wonders. It softens and moisturizers. I have used it for years and now find it easy to order on Amazon.,Wonderful cream!,1518998400,{'Size:': ' 3.5 oz.'},
37,5,,True,"02 19, 2018",AL63CNA6X6IX8,B00004U9V2,Kiwi,Love this stuff!  Just wish I paid attention to the size.,Great moisturizer,1518998400,{'Size:': ' 0.9 oz.'},
38,5,,True,"02 17, 2018",A2N6AACMA6WOMN,B00004U9V2,Amazon Customer,Best hand cream for winter dry hands!  Love it!!,Five Stars,1518825600,{'Size:': ' 3.5 oz.'},
39,4,,True,"02 17, 2018",A35I4FD5EARKTS,B00004U9V2,Pete,Great but expensive.,Four Stars,1518825600,{'Size:': ' 250 g'},
40,5,,True,"02 17, 2018",A2N8V79LWVR8F2,B00004U9V2,Patricia Smith,This works very well without leaving your hands feeling greasy. It's perfect actually.,It's perfect actually.,1518825600,{'Size:': ' 3.5 oz.'},
41,4,,True,"02 14, 2018",A2R9R1DJ9RHXOX,B00004U9V2,YetAnotherGeekBoy,"Love the stuff, pricey.",Four Stars,1518566400,{'Size:': ' 3.5 oz.'},
42,3,,True,"02 10, 2018",A60EV0X26JNB3,B00004U9V2,winnie,I have some gold plated rings and using this made the gold plated peel right off. No idea why but it's a little frustrating and disconcerting.,"Moisturizing, but it damaged my jewelry.",1518220800,{'Size:': ' 3.5 oz.'},
43,4,,True,"02 10, 2018",A3CG9DJUY5F2UY,B00004U9V2,KFoernz,"The product is great, however the pump doesn't work at all. The pump won't release so none of my favorite lotion for me.
My husband finally got the pump to release, but it does not work smoothly like previous pumps.",Pump doesn't work.,1518220800,{'Size:': ' 250 g'},
44,5,,True,"02 5, 2018",AEDOSTGV48XO9,B00004U9V2,NG,Love this hand lotion - the scent is subtle and not overwhelming and it works. The size is great for carrying it in my handbag.,A hand lotion that works!,1517788800,{'Size:': ' 0.9 oz.'},
45,3,,False,"02 4, 2018",A21BQWP17YWUB4,B00004U9V2,A. Phillips,Pretty good cream. Strong smell. Not worth the price. Just get the drugstore stuff.,Three Stars,1517702400,{'Size:': ' 0.9 oz.'},
46,5,,True,"02 4, 2018",A30SYMQ05YRA2,B00004U9V2,Betty Irelan,Great,Five Stars,1517702400,{'Size:': ' 250 g'},
47,5,,True,"02 3, 2018",A390EWERC0I81R,B00004U9V2,Derk,Best product to heal dry cracks in hands.,excellent finger crack cream,1517616000,{'Size:': ' 250 g'},
48,5,,False,"01 31, 2018",A2FHSIC0TOLUNR,B00004U9V2,smile99,One of my favorite hand lotion and would keep buying.  The smell is neutral and pleasant.,Five Stars,1517356800,{'Size:': ' 250 g'},
49,5,,True,"01 30, 2018",ADWW3BMPLYEKD,B00004U9V2,DK,The best!,The best!,1517270400,{'Size:': ' 250 g'},
50,5,,True,"01 30, 2018",ADWW3BMPLYEKD,B00004U9V2,DK,The best!,The best!,1517270400,{'Size:': ' 0.9 oz.'},
51,5,,True,"01 29, 2018",AWCX1MPM94R1A,B00004U9V2,Dawn D.,Actually bought this to share with my husband as he loves it as much as I do. I even used the pump to put some back in a 3.5oz tube that was almost gone. It's a favorite scent that can be used year round :),So moisturizing and long lasting!,1517184000,{'Size:': ' 250 g'},
52,3,,True,"01 28, 2018",AOBNAZ8HUCDB0,B00004U9V2,Becky Fahy,Very little lotion in the tube.,Three Stars,1517097600,{'Size:': ' 0.9 oz.'},
53,5,,False,"01 25, 2018",A1XC08JP8BCD9I,B00004U9V2,Amazon Customer,Who says this stuff is just for the hands?  I've been using this on my face after shaving for years and also on my dried up hands.  It's the best and smells great too.,Great after shaving!,1516838400,{'Size:': ' 250 g'},
54,5,,True,"01 23, 2018",A388Q67YH5USCR,B00004U9V2,Andrea B. Guimaraes,My favorite hand cream! Love it!,Five Stars,1516665600,{'Size:': ' 3.5 oz.'},
55,5,,True,"01 21, 2018",A2L7MJNZFQXA5S,B00004U9V2,Sweet Angel,Best hand loton ever.  Bit pricey.  Has slight fragrance that wears off relatively fast.  I have issues with fragrance normslly but it's not been a problem.,Best hand lotion!,1516492800,{'Size:': ' 3.5 oz.'},
56,4,,False,"01 18, 2018",A1FN9R7H8AKQBL,B00004U9V2,Susan M,My favorite hand lotion. I wish it wasn't so expensive.,Four Stars,1516233600,{'Size:': ' 0.9 oz.'},
57,5,,True,"01 18, 2018",A32RFU686GO591,B00004U9V2,Amazon Customer,"Love this lotion, never feels greasy",Five Stars,1516233600,{'Size:': ' 250 g'},
58,5,,True,"01 17, 2018",AVTQIQRPE4PAQ,B00004U9V2,Fran,"Great product, well worth its price. Perfect to relieve cracked dry hands from winter's harshness!",Great product well worth the price,1516147200,{'Size:': ' 3.5 oz.'},
59,5,,True,"01 17, 2018",A2L86QWWTRUVAW,B00004U9V2,Robert Price,great stuff!!,Five Stars,1516147200,{'Size:': ' 250 g'},
60,5,,True,"01 16, 2018",A30QWQBQ7LTITL,B00004U9V2,"Bath, Pa",A gift.,Five Stars,1516060800,{'Size:': ' 3.5 oz.'},
61,5,,False,"01 15, 2018",A3DLEKA8HV94T2,B00004U9V2,jv,My favorite lotion and cheaper than from the store!,Five Stars,1515974400,{'Size:': ' 0.9 oz.'},
62,5,,True,"01 15, 2018",A2K0WVO4X2YGF1,B00004U9V2,Tracey,Bought as a gift. Great lotion.,Great lotion.,1515974400,{'Size:': ' 250 g'},
63,4,,False,"01 14, 2018",A1S6BZDOM2SOVM,B00004U9V2,MAW,smaller than expected but good product,Four Stars,1515888000,{'Size:': ' 0.9 oz.'},
64,5,,True,"01 13, 2018",A33V7JQYT39G71,B00004U9V2,Frozen Tundra Shopper,Was a gift,Five Stars,1515801600,{'Size:': ' 3.5 oz.'},
65,5,,True,"01 10, 2018",A3P9MQ9JHDVXCP,B00004U9V2,Onisdee,This hand cream is amazing. My sister had a tube and when I needed some lotion she told me she only had this hand cream. I loved It right away. It made my hands so soft and it smells great. Bought a tube the next day.,This hand cream is amazing. My sister had a tube and when I ...,1515542400,{'Size:': ' 3.5 oz.'},
66,5,,False,"01 8, 2018",A3DLQJC3K2ZIC5,B00004U9V2,Sarah Rose,"This is my go-to winter hand cream. Amazing smell, such a nice creamy feel and keeps my hands very hydrated.","Amazing smell, such a nice creamy feel and keeps ...",1515369600,{'Size:': ' 250 g'},
67,5,,True,"01 8, 2018",AIYOTT3ZVJUEB,B00004U9V2,Amazon Customer,"This is one of my favorite moisturizers.  It leaves a nice smooth, non-greasy layer on my rough dry hands.",Five Stars,1515369600,{'Size:': ' 0.9 oz.'},
68,5,5,True,"01 7, 2018",A2ULDZ7KWB5V09,B00004U9V2,L. Hughes,"First off, my metal bottle and the pump arrived totally undamaged and fully functioning (this was something others had complained about).

The scent is kind of a spicy herb smell.  Not overly mild, but very pleasant and not overpowering in my opinion.  I'd rank it as milder than the average Bath & Body Works lotion.  I'd love an even milder scent for my husband, but he doesn't hate it, and actually prefers it to the off-putting scent of things like unscented Lubriderm (which still has a strong odor).

I'd had a tube of this about 15 or so years ago that lasted me for years and years, and thankfully this seems to be about the same product.  The formula is super thick and concentrated, and does not need to be applied quite as liberally as many other standard lotions.  Additionally, the formula doesn't cause as severe of pain when applied to skin that is literally splitting open from dryness.  This is a must have for people whose hands or other parts of the body start to bleed during the winter without constant attention.  I wouldn't recommend it for daily full body application due to the price and thickness, but it's great for targeting problem areas.",Great for cracked and bleeding skin!,1515283200,{'Size:': ' 250 g'},
69,5,,True,"01 6, 2018",A28OBFEXK12UAJ,B00004U9V2,levy0902,very good,Five Stars,1515196800,{'Size:': ' 250 g'},
70,5,,True,"01 5, 2018",A2HOI48JK8838M,B00004U9V2,DB,This handcream has a beautiful fragrance. It doesnt stay on or protect your hands through washing.  This size is quite small.,Beautiful Fragrance,1515110400,{'Size:': ' 0.9 oz.'},
71,5,,False,"01 3, 2018",A1EX4PHEKK825C,B00004U9V2,Sanni,Nicely scented lotion. Small in size and great in the winter.,Five Stars,1514937600,{'Size:': ' 0.9 oz.'},
72,5,,True,"12 30, 2017",A2BR01CI7K7GAN,B00004U9V2,mom and teacher,Bought for my daughter.,Has Good Reviews!,1514592000,{'Size:': ' 0.9 oz.'},
73,5,,True,"12 29, 2017",A1N6K3WYGUMHGO,B00004U9V2,Customer,Great cream for the skin.,Five Stars,1514505600,{'Size:': ' 250 g'},
74,1,,False,"12 28, 2017",A3KPTMMK9D967W,B00004U9V2,fg59,"Maybe Im just not familiar with this brand, but if this is the type of fragrance they normally use...blech!  It might be a good cream but I had to wash my hands immediately (twice) to get the horrible smell off my hands so I couldn't tell.",Bad fragrance,1514419200,{'Size:': ' 0.9 oz.'},
75,5,,True,"12 28, 2017",A3CEUD9051WKC0,B00004U9V2,candy973,This is one of my favorite creams. Highly recommend!!! Keeps hands moisturizers for a long time. Worth every penny.,Great product.,1514419200,{'Size:': ' 250 g'},
76,5,,True,"12 19, 2017",A69VISV3LE7DA,B00004U9V2,Candice,"I simply love this lotion!  Originally, I received it as a gift.  Have been buying it ever since!",Five Stars,1513641600,{'Size:': ' 0.9 oz.'},
77,5,,False,"12 19, 2017",A2G0OL2CNZLB6C,B00004U9V2,C.B.,"This actually helped fix my wife's hands, which have bothered her for years.  It is not greasy or water-downed.  It's pricey, but it's worth it.",Great Product,1513641600,{'Size:': ' 0.9 oz.'},
78,1,,True,"12 17, 2017",A1W4FSYPXAR8CP,B00004U9V2,Sarah E Vickery,Love this lotion but it arrived dented all over.  Planned on giving as a gift but now I'll keep for myself.,"Great product, dented container",1513468800,{'Size:': ' 250 g'},
79,5,,True,"12 14, 2017",A1FZOLQO37TD3E,B00004U9V2,K,"A favorite, love that this can be purchased online with quick delivery throughPrime",Five Stars,1513209600,{'Size:': ' 3.5 oz.'},
80,5,,True,"12 7, 2017",A24S7PF1P6JZ3,B00004U9V2,morganerin,"This is one of my favorite hand creams, ever. Smells lovely, like a light fresh herbal scent. Makes hands silky smooth with no greasy film.",This is one of my favorite hand creams,1512604800,{'Size:': ' 0.9 oz.'},
81,5,2,True,"12 4, 2017",A39QUX4UVMQORT,B00004U9V2,D. Meyer,"The texture is great for dry ""winter skin"", and the scent is light and floral. I love this hand cream and buy it again and again.",Very pleasant!,1512345600,{'Size:': ' 0.9 oz.'},
82,5,,True,"11 28, 2017",A1YR3F06HAYN3Y,B00004U9V2,GlutenQueen,Everything was great! Product arrived on time and was exactly as described and pictured! No complaints!,Five Stars,1511827200,{'Size:': ' 3.5 oz.'},
83,4,,True,"11 27, 2017",ARBEN4CJ2MNAH,B00004U9V2,Nicole Christensen,The bottle was deliver dented. It was a gift and was very disappointing. Great product. If you plan on buying this for a gift for someone like I did ...dont. Go on their real website.,Great product. If you plan on buying this for ...,1511740800,{'Size:': ' 250 g'},
84,1,,True,"11 27, 2017",A2T23XPSSVM1MA,B00004U9V2,Mike karago,Too little for the cost.,One Star,1511740800,{'Size:': ' 0.9 oz.'},
85,5,,True,"11 25, 2017",A3C3M9S43OC2UC,B00004U9V2,Amazon Customer,This is the best.,Five Stars,1511568000,{'Size:': ' 0.9 oz.'},
86,5,,True,"11 18, 2017",A1Q7NVWYAGK8BQ,B00004U9V2,K. Sparling,"I've tried many, many different hand lotions, but have never found one that works as well as this one.  I put this on my hands (you don't need much), then put on a pair of spa gloves for about a 1/2 hours.  Awesome results!  Even better when you use the Gardener's Pumice first!!",Nothing better!!,1510963200,{'Size:': ' 250 g'},
87,3,,True,"11 15, 2017",A3SGHVCNU9S4D6,B00004U9V2,vj,I got fooled by the size in the picture. I was really disappointed when I received it. overall I love the product,I was really disappointed when I received it,1510704000,{'Size:': ' 0.9 oz.'},
88,4,,True,"11 15, 2017",A3OARC87R1UEPI,B00004U9V2,Donna Mae,Wish it came in a bigger size,Moisturiising,1510704000,{'Size:': ' 0.9 oz.'},
89,5,,True,"11 5, 2017",AIDAO8SJBK4P9,B00004U9V2,LEROY BRIGHTWELL,Best around.,Five Stars,1509840000,{'Size:': ' 3.5 oz.'},
90,5,,True,"11 4, 2017",A3M7Z1ZR238RPV,B00004U9V2,Nancy McNelis,Excellent product for Gardners who refuse to wear gloves and use their hands to work with soil.,Five Stars,1509753600,{'Size:': ' 250 g'},
91,4,,True,"10 31, 2017",A1B9RHPMRQRJ6I,B00004U9V2,Luck Chris,"A gift, good smell.",Four Stars,1509408000,{'Size:': ' 0.9 oz.'},
92,5,,True,"10 31, 2017",A3GO04TZ67GI4L,B00004U9V2,jlsagirl,"The best hand cream, with subtle fragrance.",A Gardener's Must!,1509408000,{'Size:': ' 250 g'},
93,5,,True,"10 23, 2017",A31KD5E7LS58G3,B00004U9V2,B.Taylor,Excellent product for working outdoors those little cuts and scrapes will heal quick using this cream.,Five Stars,1508716800,{'Size:': ' 3.5 oz.'},
94,2,,True,"10 17, 2017",A21B4S5G6CGEC6,B00004U9V2,MsDee,So sorry that they changed the formula.  This was a 5-star item before they changed the ingredients.  It's just an okay product now...not worth the extra money it costs.  It's expensive.,So sorry that they changed the formula. This was ...,1508198400,{'Size:': ' 250 g'},
95,5,,True,"10 12, 2017",A2W6XRYVXD1KZM,B00004U9V2,Amanda,I have to wash my hands a lot for work and this is my favorite hand lotion after a long day. Works like magic and makes my hands feel really good.,... hands a lot for work and this is my favorite hand lotion after a long day,1507766400,{'Size:': ' 250 g'},
96,5,,True,"10 9, 2017",A3EUSBB72G3M1G,B00004U9V2,auntie,The BEST hand cream you will ever use! Leaves your hands super soft and hydrated. It's like a drink of water for your hands.,The BEST,1507507200,{'Size:': ' 250 g'},
97,5,,True,"10 8, 2017",A1C471I1QFK20F,B00004U9V2,AKSailor,"This is not an inexpensive product but it is the very best hand lotion that I've ever used.  When I pump a bit on my hands and spread it into my skin, my hands stop being dry and uncomfortable, although it's a classic case of, ""I didn't know that they hurt until they stopped hurting.""  I've never used anything nearly as effective.  I'm male and often work outdoors and with my hands and caring for my skin is simply not something that I do.  This stuff, though, works.",The Best That I've Used.,1507420800,{'Size:': ' 250 g'},
98,5,,True,"10 5, 2017",A1TPSZTAPCZ2W8,B00004U9V2,Rockgurl,My favorite lotion hands down (pun intended). Smells divine and makes my hands really soft. This is my third bottle. The last one lasted a year and it has been on my desk all that time...I use it every day. Great quality.,Wonderful lotion,1507161600,{'Size:': ' 250 g'},
99,5,,False,"09 29, 2017",A3AC253FUWNVDK,B00004U9V2,JujusMama,"I was told by my dad to pick up a trade while I was an undergrad, and that trade was beauty. I worked at The Body Shop, Sephora, and MAC. Never had I had a problem with dry/cracked hands; however, my mother did and my beloved almond Body Shop hand cream wasn't enough.

Someone told me to get this product, so I got the smallest size, just in case. Wish I had bought her this size, as this was now her go-to!

Skip forward over a decade, and I'm pregnant with my 1st and only child. I had the most difficult pregnancy, so I picked up sewing as a stress reliever (plus, I could make my son his own clothes and cloth diapers!) Little did I know that sewing DESTROYS your hands!

You cannot have a greasy hand cream while sewing, as it'll ruin your fabric. Also, you need fast access to your cream, and twist tops just don't do the job. Lastly, when your fingers, fingernails, cuticles crack and peel, it can snag your fabric and threads, destroying your garment.

I remembered this product and quickly bought the tube. THANK THE LORD I REMEMBERED THIS STUFF!!! Saved my life and fabric!

The pump is the best price--dollar per ounce--and the most convenient. The smell is great and the product is soaked up by my abused hands in seconds. Never have I ruined a good piece of silk, and rarely do my fingers snag fabric. The only time it does happen is when I forget to moisturize my hands.

My mom works in electronics and is the lead of production. She files papers all day and sometimes has to handle electronic components to help others. Her hands would crack and bleed from her work. It was painful to look at! Plus, she, too, cannot use greasy products, as that would ruin the electronics.

As she worked along with C&E Gardner's, her hands became normal once again, no longer embarrassing her. We love this stuff, and if it came by the gallon, we'd invest in tubs!",The BEST!!,1506643200,{'Size:': ' 250 g'},
100,5,,True,"09 27, 2017",A28EYFURVP5PPZ,B00004U9V2,Peggy Dionne,Best hand cream ever,Five Stars,1506470400,{'Size:': ' 250 g'},
101,5,,True,"09 23, 2017",A1MGUK7NI9WIBS,B00004U9V2,Eleanor Rusling,"Favorite and first go-to tool in my gardening kit!!! Try this: 1) Slather hands, with excess under your nails. 2) Don gardening gloves. 3) Garden till you drop! 4) Remove gloves, wash hands, and enjoy the lovely soft skin! :)",Hand spa in a bottle - use with gardening gloves!,1506124800,{'Size:': ' 3.5 oz.'},
102,5,,True,"09 21, 2017",AAFF6Q132B3QD,B00004U9V2,Marie Bonacci,"The absolute best hand cream. Silky, not sticky or greasy.  Also when I use it daily, my nails are stronger and grow longer. The price is too high. Period. But it is my yearly indulgence. A bottle lasts almost the whole year, using it nightly.",The absolute best hand cream,1505952000,{'Size:': ' 250 g'},
103,5,,True,"09 21, 2017",A25RFIRLZKWC0Z,B00004U9V2,Sunshine,Been using this for years ... my husband loves how it works,Great product,1505952000,{'Size:': ' 250 g'},
104,5,,True,"09 7, 2017",A1C0L7ZNVWZPSF,B00004U9V2,Melanie Coney,A very effective lotion and smells wonderful!,Five Stars,1504742400,{'Size:': ' 250 g'},
105,5,,True,"09 5, 2017",A1VZSB4DNMP1Y,B00004U9V2,Tristen S,"Love this smell, and the best lotion I have EVER used. Soaks right in",Five Stars,1504569600,{'Size:': ' 0.9 oz.'},
106,1,,False,"08 28, 2017",A1MN2DA3T9CLTR,B00004U9V2,liz kornafel,testor's version,One Star,1503878400,{'Size:': ' 0.9 oz.'},
107,1,2,True,"08 24, 2017",AU7VTGHNFO1O5,B00004U9V2,suzanne garney,The bottle arrived with multiple dents.,"Great product, lousy packaging.",1503532800,{'Size:': ' 250 g'},"['https://images-na.ssl-images-amazon.com/images/I/71wEgJNW68L._SY88.jpg', 'https://images-na.ssl-images-amazon.com/images/I/61gHU5Rl1HL._SY88.jpg']"
108,5,,True,"08 13, 2017",A3JGNR55UOA6P1,B00004U9V2,Beth 7,Love this stuff! It is consistently good at moisturizing and I like the scent.,Great stuff,1502582400,{'Size:': ' 250 g'},
109,5,,True,"08 11, 2017",A30YVUOM9S6Q1U,B00004U9V2,Chris,This is hands down (pun intended) the best hand cream ever!,Best stuff ever....,1502409600,{'Size:': ' 3.5 oz.'},
110,4,,True,"08 9, 2017",AJOU9QPXFHBQE,B00004U9V2,MRG,"I absolutely adore this product; the scent is why I buy it. However, I'm not clear as to why it is double or even triple the cost of other high quality, similar products. This is not the first time I've purchased it, but I have to save up in order to be able to buy it.","Amazing scent, but is it worth it.",1502236800,{'Size:': ' 250 g'},
111,5,,True,"08 7, 2017",A2N10VHDHLDYY5,B00004U9V2,Amazon Customer,Have used it for years... only thing that heals my dig in the dirt hands!!,Five Stars,1502064000,{'Size:': ' 3.5 oz.'},
112,5,,True,"08 6, 2017",ATXI2F0UQ04KN,B00004U9V2,Richard D. Henry,"Wonderful, as always... :)",Five Stars,1501977600,{'Size:': ' 250 g'},
